video_id,question_id,question_type,timestamp (s),question,correct_answer
271,12.0,description,8.8,what text is written on the aside of the nda logistics truck in front of me?,we deliver daily
287,1.0,description,2.2,what company is associated with the vehicle parked in front of me?,ccm
287,15.0,description,7.8,what color are traffic light signals?,green
301,5.0,description,3.8,is parking allowed here?,no
310,1.0,description,2.2,what is the maximum speed i should be driving at？,20 mph
310,15.0,description,7.8,where is the construction area?,the construction areas are near laguardia airport (lga)
317,12.1,description,8.8,what is the speed limit i need to adhere to on this street?,25 mph
317,12.2,description,2.2,what is the speed limit i need to adhere to on this street?,there are no speed limit signs here
318,10.0,description,7.2,which vehicle is directly in front of me at the traffic light?,an infiniti qx60
318,11.0,description,7.2,what color is the traffic light currently showing for my direction of travel?,green
319,1.0,description,2.2,what days of the week is this restriction in effect?,tuesday through saturday
319,2.0,description,2.2,when does traffic open here?,12am to 5am
319,5.0,description,3.8,what lane is closed on the 59th street bridge?,1 lane
319,7.0,description,5.5,what time frame is specified for trucks to use 2nd avenue southbound?,10am-6pm mon-fri
319,12.1,description,8.8,what is the maximum speed on this road?,maintain the speed limit of 35 mph
319,12.2,description,1.6,what is the maximum speed on this road?,there are no speed limit signs here
330,10.0,description,7.2,what bus number is in front of me?,3855
333,3.0,description,3.8,how much it costs to rent the van advertised on the side of the u-haul truck?,$19.95
333,5.0,description,3.8,what restaurants are there on this road?,mcdonald's
334,1.0,description,2.2,which taxi company is in front of me?,martins
334,8.0,description,5.5,what is the number of the taxi in front?,187
337,6.0,description,5.5,"what type of goods does eurama food, inc. appear to specialize in?",importers of fine italian foods
337,13.1,description,8.8,what is the speed limit on this street?,25 mph
337,13.2,description,2.5,what is the speed limit on this street?,there are no speed limit signs here
337,15.0,description,7.8,which truck on this street is carrying foods?,baldor specialty foods
343,13.0,description,8.8,what does the 60% on the billboard refer to?,it refers to a discount percentage
345,6.0,description,5.5,which advertisement is on the side of the bus?,the voice
345,12.0,description,8.8,when does the voice premiere?,sept 25
349,1.0,description,2.2,what is the speed limit on this road?,55 mph
350,3.0,description,3.8,what indication do i have that i might be approaching a school zone?,the word school painted on the road
358,2.0,description,2.2,what brands or advertisements are visible on the delivery trucks around me?,bud light
358,13.0,description,8.8,what does the billboard on the right suggest about self-storage?,self-storage is stupid
358,15.0,description,7.8,how much space is available for lease？,"24,000 sf"
361,12.0,description,8.8,what's the name of this street?,bradherst av
366,14.0,description,8.8,which store am  i about to enter?,sprouts farmers market
369,12.0,description,8.8,what is indicated about the right lane just before the tunnel?,right lane ends
381,6.0,description,5.5,what service is being advertised on the back of the bus in front of me?,access-a-ride
381,15.0,description,7.8,what special hiring notice is displayed on the back of the bus?,driver wanted
386,3.0,description,3.8,what is the contact number for the company 'super bread ii'?,908-688-8210
386,12.0,description,8.8,which company is responsible for the truck in front of me?,super bread ii corp
390,3.0,description,3.8,can you confirm the speed limit is 15 mph for the exit ahead?,yes
390,14.0,description,8.8,what is the license plate of the car in front that is unsafe to drive?,hgu-6122
390,15.0,description,7.8,am i currently on a single-lane or multi-lane road?,multi-lane road
392,2.0,description,2.2,which street am i driving on?,eldert st
414,4.0,description,3.8,which restaurant am i passing by on the left side of the street?,meatball
414,12.0,description,8.8,which restaurant is located near the postal truck?,meatball
420,7.1,description,5.5,what's the speed limit in this area?,speed limit 30
420,7.2,description,2.5,what's the speed limit in this area?,there are no speed limit signs here
420,13.0,description,8.8,which delivery service's vehicle is in front of me?,fedex
434,6.0,description,5.5,what is the charity organization that is advertised on the billboard?,kars 4 kids
446,12.0,description,8.8,which company's truck is ahead of me in the right lane?,ces city electric supply
450,12.0,description,8.8,what street is this intersection on?,geary street
454,3.0,description,3.8,what is written on the ground at the intersection?,stop
454,4.0,description,3.8,what kind of services does moose pro painting offer?,"residential, commercial, interior, exterior, waterproof"
454,9.0,description,7.2,what is the license number of moose pro painting?,lic#939174
455,1.0,description,2.2,what is the number on the license plate of the car in front of me?,21-695-76
455,14.0,description,8.8,which vehicle's license plate in front of me starts with the number 21?,the mazda vehicle's license plate
474,3.0,description,3.8,which organization do the police vehicles belong to?,metropolitan transportation authority
474,8.0,description,5.5,what message is the large billboard displaying about new york?,ny is go
475,13.2,description,2.2,what shops are there on the right side of this road?,herald tower
475,13.3,description,1.1,what shops are there on the right side of this road?,gap
475,15.0,description,7.8,which company owns the big truck parked on the right side of the road?,ups
477,3.0,description,3.8,what are the height restrictions for this construction area?,11 feet 0 inches
477,8.0,description,5.5,is the sign about vehicle height the only road instruction visible so far?,"no, there are other road instructions visible"
479,5.0,description,3.8,what brand car dealership am i passing on my left?,jeep
479,13.0,description,8.8,what is the bus number and its route?,the bus number is 643 and it is on route q66
480,11.0,description,7.2,what bus route is the bus ahead of me following?,66
503,13.1,description,8.8,what is the recommended speed limit as we approach the exit?,30 mph
503,13.2,description,2.2,what is the recommended speed limit as we approach the exit?,there are no speed limit signs here
509,3.0,description,3.8,which vehicle appears to be from a company?,the white van with systems 2000 plumbing written on it
509,5.0,description,3.8,what is the contact number for the plumbing service advertised in this scene?,212-321-2277
509,6.0,description,5.5,what are the billboards advertising?,promoting voting
509,14.0,description,8.8,what other signals indicate there's a school zone ahead?,a yellow pedestrian crossing sign on the right
516,13.0,description,8.8,which delivery service company is this truck from?,fedex
1000,7.1,description,5.5,what shops are there along the road?,home tile center
1000,7.2,description,2.1,what shops are there along the road?,letters & wraps
1000,12.0,description,8.8,what kind of products might the store with the toto sign specialize in?,bathroom products
1000,13.0,description,8.8,which company is on the white van to my right?,s. donadic inc
2004,2.0,description,2.5,what is the contact number for siddarth neuro center?,9703908820
2004,5.0,description,4.2,which side of the road is the ghmc signboard located on?,the right side
2007,4.0,description,4.3,what is the phone number on the billboard i'm passing?,8886000833
2008,1.0,description,2.5,what is the most common type of vehicle crossing the intersection?,cars with various license plates are the most common
2008,2.0,description,2.5,which company brand sign is visible near the traffic intersection?,tata
2008,13.0,description,10.2,which store has the your affordable everyday menu sign?,the store on the left side of the road with a red sign
2012,2.0,description,2.5,which organization’s sign can be seen to the right near the tree line?,ghmc
2012,5.0,description,4.2,what is the type and color of the vehicle with the license plate ts07eh7579?,white hatchback
2012,10.0,description,8.5,which vehicles have license plates starting with ts07?,the cars in the middle lane and motorbikes on both sides
2019,4.0,description,4.5,which vehicles in this scene have license plates starting with ap 28?,the white car and two two-wheelers
2019,14.0,description,10.5,which road sign indicates the governing municipal corporation in this area?,ghmc
2020,2.0,description,2.5,what is the registration number of the motorcycle closest to me on my left side?,ts07ex6124
2021,1.0,description,2.5,what are the license plates of the white volkswagen and the hero splendor bike?,"ap28 dp 2895, ap28 dv 4551"
2021,5.0,description,4.3,what color is the motorcycle that has the license plate ts15 el 7913?,black
2022,3.0,description,4.5,which scooter has the drivezy branding on it?,the white scooter to the left
2022,9.0,description,8.5,which traffic station's jurisdiction are we currently in?,gachibowli traffic police station
2023,6.0,description,6.5,what are the consequences of not waiting for the red light?,wait for red don't end up dead
2026,1.0,description,2.5,which state might the car in front of me be registered in?,the car might be registered in andhra pradesh
2026,4.0,description,4.5,what is the date for the pashupatinath darshan event?,from 1th to 5th march
2032,1.0,description,2.5,what does the road sign mean?,no honking
2032,4.0,description,4.2,what's the registration number of the white car ahead of me?,ap 09 ck 2950
2032,6.0,description,6.5,which building is on the right with the sign that mentions completion?,verity
2032,10.0,description,8.3,which company is on the billboard to my right?,verity
2033,2.0,description,2.5,what message is the billboard ahead conveying?,we are looking for you!
2033,3.1,description,4.5,what advertisement is in front of me?,a want advertisement
2033,3.2,description,6.5,what advertisement is in front of me?,manikchand
2041,4.0,description,4.5,what are the services offered by the delivery app brings?,door step pick & delivery
2041,8.0,description,6.5,what brand of bread is advertised on the side of the bus?,manikchand
2041,10.0,description,8.5,what's the advertisement on the bus?,bake better
2042,3.0,description,4.5,which type of service is being advertised on the back of the tuk-tuk?,door step pick & delivery
2042,14.0,description,10.5,what advertisement is on the bus?,manikchand
2042,15.0,description,9.5,how much space is available in the properties advertised on the billboard?,2876 sq.ft to 5216 sq.ft
2103,14.0,description,8.8,what kind of education does a techno school provide?,advanced iit & neet foundation course
2127,2.0,description,2.2,which building has the cera signage that might have home improvement products?,the building on the right side of the road
2127,7.0,description,5.5,what type of services are offered at dr. sridhar?,medical services
2128,4.0,description,3.8,what services are offered at dr. sridhar international dental hospital?,dental care services
2130,3.0,description,3.8,what does the ad on the back of the auto suggest to use for interiors and exteriors?,vboard
2130,5.0,description,3.8,what materials does vboard promote for use in home interiors and exteriors?,fiber cement
2130,10.1,description,7.2,which school has a banner for admissions open?,eurokids
2130,10.2,description,1.2,which school has a banner for admissions open?,not found
2130,14.0,description,8.8,what is the contact number of samashti international school?,83745 51155
2247,14.0,description,8.8,which establishment is open 24x7?,shree hospital
2307,4.1,description,3.8,what is the license plate of the white car closest to me?,ts08ua8727
2307,4.2,description,9.3,what is the license plate of the white car closest to me?,ap35vt0389
2317,2.0,description,2.2,what is the registration number of the uber cab in front of me?,ts07uc1400
2317,10.0,description,7.2,what type of job or opportunity is being advertised on the billboard?,work for coders and creators
2341,9.0,description,7.2,which of the words on the billboard is relevant in daily work?,dragging yourself to work?
2341,12.0,description,8.8,how is the text on the billboard relevant to people commuting on this road?,it relates to the stress some individuals feel while heading to work
2341,14.0,description,8.8,which side of the road features the dragging yourself to work? billboard?,left side
2361,12.0,description,8.8,what are the mobile web advertisements in the region?,airtel
2362,2.0,description,2.2,which telecom companies are advertising their 4g services here?,"airtel, vodafone and idea"
2366,1.0,description,2.2,which store is located on the left side of the street?,sneha and ram reddy store
2373,1.0,description,2.2,what is the registration number of the white motor cab?,ts07ua9722
2374,1.0,description,2.2,which vehicle in front of me is a motor cab?,car with license plate number ts07uas722
2374,8.0,description,5.5,which letters are written on the red part of the cab's rear bumper in front of me?,motor cab
2375,3.0,description,3.8,which building has a sign with the word motors on it?,the building to the left
2375,13.0,description,8.8,what vehicle make is being advertised on the left building?,jaguar
2375,15.0,description,7.8,what type of service is the white car in front providing?,motor cab
2376,4.0,description,3.8,what is the registration number of the motor cab in front of me?,ts07ua9722
2376,5.0,description,3.8,which car in this traffic jam is a motor cab?,the white suzuki car
2376,6.0,description,5.5,which street i am on from any visible signs?,there are no visible street signs indicating the name of the street
2379,2.0,description,2.2,which car ahead of me has the number plate starting with 'ts07'?,the white car directly in front of me
2379,10.0,description,7.2,which cab company is operating the vehicle in front of me?,motor cab
2380,1.0,description,2.2,which brand or business name is on the red banner on the left?,jaguar
2380,2.0,description,2.2,what text is displayed on the yellow signboard on top of the building on the left?,swaadh
2380,3.0,description,3.8,what is the vehicle registration number of the red car in front of me?,ts07ex2602
2380,9.0,description,7.2,which license plate belongs to the motorcycle ahead of me?,ap16 ec5129
2381,5.0,description,3.8,what is the registration number of the motor cab in front of me?,ts07ua9722
2385,4.0,description,3.8,which license plate belongs to the blue car ?,ts07es4923
2395,1.0,description,2.2,what are the recommendations to ensure driving safety?,arrive safely. don't drink & drive
2395,8.0,description,5.5,what is the contact number for mera khan?,it is not clearly visible
2395,13.0,description,8.8,which sweet shop did i passed on my left?,balaji mithai bhandar
2395,14.1,description,8.8,which license plate belongs to the red car in front of me?,ts07ev0826
2395,14.2,description,2.3,which license plate belongs to the red car in front of me?,too far to see clearly
2396,4.0,description,3.8,what is the registration number of the white car in front of me?,ap09 ch 7955
2397,2.0,description,2.2,what are the license plates of the two cars in front of me?, ap09 ch 7955 and ts07ex2602
2397,12.0,description,8.8,what store is promoting dairy products here?,amul
2398,3.0,description,3.8,what brand name is shown on the left side of the street?,amul
2398,14.0,description,8.8,whatadvertisement is on the red billboard to my left?,party addiction
2405,4.0,description,3.8,what is the contact phone number listaed on the water tanker?,ph - 155313
2405,6.0,description,5.5,could you tell me the registration number of the red renault car in front of me?,ts07ev0826
2405,7.0,description,5.5,what is the cost of water for commercial use?,commercial-rs-850
2405,9.0,description,7.2,which organization is responsible for the water supply?,hmws&sb
2405,10.0,description,7.2,what is the phone number for the rental property?,8121103337
2405,14.0,description,8.8,what is the model year of the truck ?,eicher 2018
2405,15.1,description,7.8,could you tell me the license plate of a white car?,ap23af4644
2405,15.2,description,4.3,could you tell me the license plate of a white car?,not found
2406,1.0,description,2.2,what is the registration number of the red renault kwid car in front of me?,ts07ev0826
2406,6.1,description,5.5,what is the make of the truck?,eicher
2406,6.2,description,1.9,what is the make of the truck?,not found
2406,11.0,description,7.2,what message is written on the water tanker?,water is precious every drop counts
2406,13.0,description,8.8,what is written on the rear window of the red car?,driving is pleasure
2406,15.0,description,7.8,which car manufacturer is the vehicle directly ahead of me in traffic from?,renault
2407,2.0,description,2.2,what message is written on the back of the red renault kwid car?,driving in pleasure
2409,1.0,description,2.2,which services are mentioned on the side of the water tanker?,"domestic, commercial"
2409,2.0,description,2.2,what is written on the rear window of the red car?,driving in pleasure
2409,7.0,description,5.5,what is written on the side of the tanker truck in front of me?,hmws & sb
2409,13.0,description,8.8,what is the slogan written on the large vehicle next to me?,water is precious every drop counts
2409,14.1,description,8.8,could you tell me the registration number of truck?,ap 20 x 0131
2409,14.2,description,0.3,could you tell me the registration number of truck?,not found
2421,3.0,description,3.8,which organization is responsible for the ongoing work?,ghmc
2421,8.0,description,5.5,what rating the gyanvriksh training and test center has received?,4.9/5
2421,15.0,description,7.8,which technologies are mentioned on the advertisement for the training courses?,big data & cloud
2428,2.0,description,2.2,which vehicle in front of me has the license plate ts15ub2906?,the silver tata indica car in the center
2428,4.0,description,3.8,which tall building is it?,signature towers
2429,3.0,description,3.8,what is the type of vehicle marked with the text motor cab?,private car
2430,3.0,description,3.8,which jewelry store is located in this area?,malabar
2431,8.0,description,5.5,which jewelry store is it?,malabar
2432,1.0,description,2.2,what company is highlighted on the large building directly in front of me?,oyo rooms
2432,15.0,description,7.8,what's the license plate on the car in front?,ts07es8675
2433,1.0,description,2.2,which company or service is advertised on the building to the left?,oyo
2433,7.0,description,5.5,which company is on the right side of the road?,act fibernet and oyo hotel
2433,9.0,description,7.2,what is the registration number of the grey hyundai car directly in front of me?,ts07es8675
2433,14.0,description,8.8,"which car has the license plate ts07es8675, and what is the model of that car?",hyundai i10
2434,1.0,description,2.2,which internet service provider has a billboard nearby?,act fibernet
2434,3.0,description,3.8,which car in front of me has the license plate ts07es8675?,hyundai car
2434,6.0,description,5.5,what is the  license plate on the car in front of me?,ts07es8675
2434,7.0,description,5.5,which building appears on my left ?,ektha towers and oyo hotel
2434,13.0,description,8.8,what is the name of the traffic authority managing this area?,ghmc
2435,1.0,description,2.2,which building has the name ektha towers displayed on it?,the building with the oyo logo also has c.k. naidu towers displayed
2435,2.0,description,2.2,what advertisement or information is displayed on the billboard from synchrony?,the billboard shows a phone with information about synchrony.
2435,4.0,description,3.8,what is the brand of the car in front of me with the license plate ts07es8675?,hyundai
2435,6.0,description,5.5,which company's advertisement is on the right side of the road?,synchrony
2435,8.1,description,5.5,what is the license plate of the car in front of the motorcycle?,ts07es8675
2435,8.2,description,0.7,what is the license plate of the car in front of the motorcycle?,no motorcycle found
2435,13.0,description,8.8,what is the message on the red signboard to the right of the road?,welcome to the new era of digital experiences
2435,14.0,description,8.8,which car dealership's sticker is on the back of the silver toyota etios in front of me?,harsha toyota
2437,1.0,description,2.2,which company’s dealership is advertised on the back window of the silver car in front of me?,harsha toyota
2437,2.0,description,2.2,how is the new era described on the red sign next to the road?,welcome to the new era of digital experiences
2437,5.0,description,3.8,which vehicle belongs to harsha toyota?,the silver toyota vehicle directly in front of you
2437,6.0,description,5.5,what's the license plate on the car in front?,ap28 cg 0813
2437,9.0,description,7.2,which vehicle's license plate starts with ts07 in this scene?,ts07ge5554
2437,13.1,description,8.8,which business is located on the left side?,dimmy
2437,13.2,description,0.1,which business is located on the left side?,oyo hotel
2438,1.0,description,2.2,what places can i find along this street that have signs?,dimmy
2438,2.0,description,2.2,which car in front of me is from ap28 registration?,toyota etios liva
2438,5.0,description,3.8,which vehicle in front of me has a license plate that reads ts07ec5554?,the white suv in front
2438,7.0,description,5.5,what is the contact information for harsha toyota that i can see on the car ahead of me?,040 - 3000 7000
2438,9.0,description,7.2,which two vehicles in front of me have different license plates starting with ap and ts respectively?,"ap28 cg 0813, ts07fe8648"
2438,10.1,description,7.2,which company is located on my left?,b4b solutions
2438,10.2,description,1.7,which company is located on my left?,dimmy
2438,11.0,description,7.2,which building ahead has a to-let sign?,the building on the left side of the road
2438,14.0,description,8.8,what's the license plate of the car directly in front of me?,ap28 cg 0813
2439,1.0,description,2.2,which car in front of me has the license plate ap28 cg 0813?,the silver toyota car in front
2439,5.0,description,3.8,what does the billboard with the family on it say?,bring loved ones closer
2439,8.0,description,5.5,which license plate belongs to the white suzuki brezza in front of me?,ts07fe8648
2440,3.0,description,3.8,what message is on the billboard encouraging action?,move your boardroom to your living room
2440,4.1,description,3.8,which building appears on my left?,harihara arcade
2440,4.2,description,9.5,which building appears on my left?,ambicare
2440,9.0,description,7.2,which building is haribhara arcade sign on?,the one on the left side of the street
2442,6.0,description,5.5,which vehicle model is promoted in the large advertisement?,xuv 300
2442,7.0,description,5.5,what is written on the billboard just above the road?,set the roads on fire
2442,11.0,description,7.2,which car model is being advertised as set the roads on fire?,xuv300
2443,1.0,description,2.2,what is the speed limit on this road?,30 km/h
2443,3.0,description,3.8,what kind of car service advertising is seen?,car care services
2443,5.0,description,3.8,what is the price of the xuv 300?,starts at 7.9 lakh
2443,6.0,description,5.5,which advertisement is displayed on the large billboard on the right side of the road?,whizzy
2443,11.0,description,7.2,which company is a fortune 500 company?,synchrony
2443,12.0,description,8.8,what is the model name of the vehicle advertised on the billboard?,xuv300
2443,14.0,description,8.8,what is the message of the billboard advertising synchrony?,a fortune 500 company
2446,1.1,description,2.2,what is the license plate of the car in front of me?,ts07ge5554
2446,1.2,description,7.5,what is the license plate of the car in front of me?,ts07em4732
2446,9.1,description,7.2,what is the license plate of the car in front of me?,ts07en4732
2446,9.2,description,2.2,what is the license plate of the car in front of me?,ts07ge5554
2447,3.0,description,3.8,what type of business is the establishment in the building on the left?,a family restaurant
2447,6.0,description,5.5,what is the number of the red car in front of me?,ts07en4732
2447,9.0,description,7.2,which food establishment is on my left side?,santosh family dhaba
2447,14.0,description,8.8,what type of services does srinivasa ao-big xerox offer?,colour xerox and net-prints
2448,6.0,description,5.5,which clinic posted the ad?,dr. venus
2448,7.0,description,5.5,what is the license plate of the red maruti suzuki swift in front of me?,ts07en4732
2448,8.0,description,5.5,which types of vehicles can i spot around me?,"car, motorcycle, auto-rickshaw"
2448,11.0,description,7.2,which car has the registration number ap9 bd 9543?,the silver honda
2450,6.0,description,5.5,what's the license plate of the car in front of me?,ts07en4732
2450,12.0,description,8.8,what clinic is being advertised on the street?,dr.venus
2451,2.0,description,2.2,what is the speed limit ?,speed 20
2452,5.0,description,3.8,what type of establishment dr. venus is?,a clinic
2452,9.0,description,7.2,what is the car with the license plate ts07en4732?,a red suzuki swift car
2453,1.0,description,2.2,which fitness center can i see in the distance?,cloud fitness
2453,8.0,description,5.5,which vehicle in front of me based is with the license plate ts07en4732 ?,suzuki swift
2453,9.0,description,7.2,what is written on the red van ?,mail
2454,12.0,description,8.8,which café is visible?,cafe coffee day
2456,8.0,description,5.5,which company’s advertisement is visible on the large billboard?,ford
2456,9.0,description,7.2,what are the numbers on the license plate of the red suzuki swift in front of me?,ts07en4732
2456,12.0,description,8.8,what advertisement is displayed on the first large billboard ahead?,just for u
2457,6.0,description,5.5,what brand is being advertised prominently?,ford
2458,6.0,description,5.5,what car dealership has an advertisement on the billboard ahead?,ford
2459,7.1,description,5.5,what is the license plate of the car in front of me?,ts07ub7558
2459,7.2,description,8.9,what is the license plate of the car in front of me?,ap-09-y-2660
2459,10.0,description,7.2,what brand advertisement is on the billboard i'm approaching?,ford
2459,13.0,description,8.8,what is the red mail van's registration number?,ap-09 y-2660
2459,15.0,description,7.8,what is the advertisement on the billboard above the red mail van promoting?,ford
2460,1.0,description,2.2,what is the license plate of the red mail vehicle?,ap-09 y-2660
2460,2.0,description,2.2,which brand has an advertisement featuring a car on the billboard?,ford
2460,3.1,description,3.8,what is the speed limit?,30
2460,3.2,description,0.1,what is the speed limit?,not found
2460,10.0,description,7.2,which building is on the left side near the corner?,glen
2461,1.0,description,2.2,what is the building complex on the left side of the road?,sreshta
2461,12.0,description,8.8,how much does the service/product advertised on the billboard cost?,2999
2462,2.0,description,2.2,what company is associated with the nearest red and white sign visible on the right side of the road?,hafele
2462,5.0,description,3.8,what message is being conveyed on the sign by ghmc?,grow trees and prevent global warming
2462,8.0,description,5.5,what is the warning given by the red truck in my lane?,stop
2464,6.0,description,5.5,which service offers carpooling and bikepooling as advertised on the rickshaw back?,quick ride
2464,8.1,description,5.5,what does the sign indicate ?,school zone
2464,8.2,description,0.6,what does the sign indicate ?,u turn
2464,15.0,description,7.8,what does the graffiti on the wall say near the school entrance?,she's someone
2465,4.0,description,3.8,which words are repeated on the wall to the left?,"sister, daughter, wifeand mother"
2465,5.0,description,3.8,what text is displayed on the right large billboard?,9885119144
2465,11.0,description,7.2,which building has the ifb fastcool sign on it?,the building to the far right with multiple signboards
2466,3.0,description,3.8,what information is provided on the large billboard beside the road?,a phone number
2466,6.0,description,5.5,what is the contact number provided on the billboard visible in the distance?,9885119144
2466,14.1,description,8.8,what does the roadside sign say?,ifb fastcool
2466,14.2,description,4.3,what does the roadside sign say?,watch out for the fork in the road
2468,4.1,description,3.8,what is the speed limit ?,30
2468,4.2,description,0.2,what is the speed limit ?,not found
2468,11.0,description,7.2,which organization or business that focuses on data science?,data science authority
2468,14.0,description,8.8,which brand's banner is prominently displayed on the side of the building?,philips
2470,2.0,description,2.2,which nearby educational institute is a new destination for students?,glendale international school
2470,5.0,description,3.8,what is the school targeting?,a new destination for new-age students
2474,1.0,description,2.2,which bazaar is on my left?,china bazar
2474,5.0,description,3.8,which vehicle ahead of me has the license plate ts09 ex 2901?,the grey suzuki
2474,15.0,description,7.8,what are the complete license plates of the two cars in front of me?, ts07 uc 7784 and ts09 ex 2901
2475,3.0,description,3.8,how long has the store been celebrating its anniversary?,7 years
2475,4.0,description,3.8,what business is prominently advertised with a large sign on the left side of the street?,china bazar
2475,5.0,description,3.8,which car's license plate is directly in front of me?,ts09 ex 2901& ts07 uc 7784
2475,8.0,description,5.5,which vehicle in front of me has the license plate ts07uc7784?,hyundai xcent
2476,4.0,description,3.8,which bazaar is i just passed?,china bazar
2476,5.0,description,3.8,how many years has the establishment displayed on the billboard been celebrating?,7 years
2476,6.0,description,5.5,which number is displayed on the yellow car's license plate in front of me?,ts07uc7784
2476,12.0,description,8.8,what type of stores and services are available in the vicinity?,"a bazar, food grooming, toys & accessories, bike store, collection agency"
2477,1.0,description,2.2,what products or items are available at china bazar?,"food, accessories, and home decor"
2477,2.0,description,2.2,what is the number of the vehicle directly in front of me?,ts07uc7784
2477,6.0,description,5.5,how many years has the shop been in business on the billboard?,7 years
2477,15.0,description,7.8,which bazaar is i see?,china bazar
2479,1.0,description,2.2,which license plate is on the silver hyundai car in front of me?,ts07uc7784
2479,2.0,description,2.2,what is displayed on the billboard to my right?,celebrating 7 years
2479,12.0,description,8.8,how long has the establishment on my right been celebrating?,7 years
2479,14.0,description,8.8,which car's license plate shows ts07uc7784?,silver hyundai
2480,4.0,description,3.8,which shop is located on the left ?,bazar
2480,5.0,description,3.8,which vehicle in front of me has the number plate ts07uc7784?,hyundai
2480,11.0,description,7.2,which car's license plate ends in 7784?,ts07uc7784
2481,2.0,description,2.2,what is the type of vehicle with the number plate ts07uc7784?,hyundai car
2481,14.0,description,8.8,which cars in my view have a visible ts prefix in their license plates?,hyundai and suzuki
2483,2.0,description,2.2,which car has a sticker that says kun united?,the car with license plate number ts07uc7784
2483,12.0,description,8.8,which words are mentioned on the back of the yellow auto?,hfl
2483,15.0,description,7.8,which business is on the left side of the street?,md massod
2484,1.0,description,2.2,what is the license plate of the silver car right in front of me?,ts07uc7784
2485,2.0,description,2.2,what is the license plate of the hyundai car in front of me?,ts07uc7784
2485,3.0,description,3.8,which sign indicates a business named brillica?,the sign above the building on the left side of the street
2485,6.1,description,5.5,what advertisement i can see ?,non sticky
2485,6.2,description,4.1,what advertisement i can see ?,arshi
2487,2.0,description,2.2,what is furniture store's name on the building?,national furniture & matresses
2487,3.0,description,3.8,what's the license plate of the hyundai car in front of me?,ts 08 ec 8631
2487,4.1,description,3.8,what type ad is being advertised?,liquid hand sanitizer
2487,4.2,description,9.8,what type ad is being advertised?,traffic sign zebra crossing
2490,3.0,description,3.8,what kind of business does talwar hyundai seem to be involved in?,selling or servicing hyundai cars
