video_id,question_id,timestamp (s),question_type,question,correct_answer
31cc4cc9-d30e-406d-9499-d8ba04720ea7,2,13.7,book-related,where should i put the magicians' handbook?,on the pile next to the red cloth
3b721e41-c7b2-4f02-946d-c8d7a9f0024c,2,10.3,book-related,where is the definition of fixed exchange rate mentioned?,in the section under difference between fixed and flexible exchange rate.
4024a7d8-abf2-4b5e-93f2-a725385eab56,2,15.2,book-related,which book might be of interest to someone planning to travel the world?,round the world ridgway
414f532b-d6da-4520-8214-6c1ba08e165f,2,6.2,book-related,which book should i use to learn english?,oxford english
5b19360a-462a-4e3d-b2bc-9aa2c4bc248f,2,19.0,book-related,where can i find instructions or information about quantum field theory?,quantum field theory book
5de9fb5c-409a-4f7a-aef4-9cd0f4c0a2f4,2,21.2,book-related,where can i find my notes on government expenditure?,on the notebook on the top side of the book
6e4d1fef-16b6-4fc5-8d60-8d18b3946962,2,22.3,book-related,where should i look for the explanation on 'double entry book keeping'?,the book titled 'double entry book keeping' on the desk
84389a11-7dc2-4e1d-80b1-e44d8787424a,2,22.0,book-related,which book on my desk is about accounting?,accountorcy
90a48d77-7070-4473-8757-d202ae893d6e,2,23.2,book-related,which book is lying next to the sarayova document?,a book with a waterfall on the cover
93c33de2-3003-4dd0-817e-8aada9e62531,2,21.2,book-related,where can i find the drawing?,"on the desk, near the laptop"
a543c599-d62a-4a7a-9c6a-0926a98f75fa,2,26.5,book-related,where can i find information about the government budget and the economy?,in the open book on the left side
ab8570ba-6c88-45b2-9fb5-03f6cd149a78,2,22.0,book-related,what is the magazine next to the book in the hands?,time
aca97c75-06c4-430f-9efe-7ccb1f7bf780,2,21.0,book-related,which section discusses 'government budget and the economy'?,iv
b44d457c-bb64-4d49-8989-42623e487782,2,8.0,book-related,which book should i clean next?,the book with a red title on the top of the pile
b97742df-3417-4953-85a7-6cd4f36c44c0,2,21.0,book-related,which book should i refer to understand more about bookkeeping concepts?,double entry book keeping
bf6af69c-6a69-44f9-8530-4a7f54359d14,2,22.7,book-related,"which book on the right has a pink cover, and what topic does it seem to be about?","brain power, enhancing memory and creativity"
c94ea4e2-4a2b-45f9-a20a-9a1f70c92e34,2,18.8,book-related,which volume of munshi papers am i currently holding?,volume ii
cf6f0815-ac72-477e-9569-b934712d6077,2,8.0,book-related,where is the swami vivekananda book?,in the stack located directly in front of me
d60a82c2-814d-459f-94a6-bc9e324464ff,2,17.0,book-related,which book can help me with financial record maintenance?,double entry bookkeeping
de326bda-444a-4ad4-81d6-5ebb456a3300,2,21.5,book-related,where can i find the information related to double entry book keeping?,it's the third book from the top
e0858be5-80b9-45d2-8e78-8985bd4ff6af,2,5.2,book-related,which cleaning product should i use to clean the windows?,windex
0479bea8-d221-4c6a-8c91-60108e43fe56,3,52.8,book-related,where can i find a suitable spot to place the book titled sarah?,on the shelf with the black bookends
062acb92-41b0-4f46-837c-3394aff57f2d,3,52.3,book-related,"what is the title of the book by suzanne collins, and how can its themes help me understand societal structures?",mockingjay; it explores themes of rebellion and the impact of war on societies
0e0626d1-f9f4-4c05-8515-544afc95a7b2,3,75.5,book-related,where can i find information about perfect assassin?,on the book titled perfect assassin on the floor
22554507-48de-46df-b9f1-0e37fdf557f9,3,59.3,book-related,where is the book introduction to psychology located on the shelf?,not visible
254e129a-6478-4887-9db1-6c7eac161f4e,3,51.2,book-related,where should i place my guitar to take a reading break?,on the chair
2936e284-d937-4b68-bf69-5abbdbfa5295,3,86.7,book-related,where do i place the item with core on it after i picked it up?,in the top right corner of the drawer
4024a7d8-abf2-4b5e-93f2-a725385eab56,3,48.5,book-related,can you tell which book might be related to humor or comics based on its title and cover image?,red meat
5de9fb5c-409a-4f7a-aef4-9cd0f4c0a2f4,3,39.8,book-related,which chapter explains the relationship between the economy and budget management?,government budget and the economy
8394a6fd-9cf1-4383-9eb0-996e49877963,3,31.5,book-related,where can i find information about the meaning of budget receipts in the open book?,section 10.4
90a48d77-7070-4473-8757-d202ae893d6e,3,54.5,book-related,where can i find my pen to fill out the sarayova document?,inside the black pouch on the desk
9422a7b8-152b-4299-9c2b-2cf9f91b6efe,3,50.0,book-related,what is the title of the book?,worst case scenario
aca97c75-06c4-430f-9efe-7ccb1f7bf780,3,51.8,book-related,what title is given to the graphical representation seen on the right page of the open book?,the economic
b7d97701-44cb-4789-9617-f6bb22d1210e,3,48.5,book-related,which book might be related to humor or comics?,in the notes section below each chart
be3e9d91-ae76-4aa0-97a9-fe71709a3f4b,3,40.5,book-related,what is the next word i should practice writing？,the word listed in the subsequent blank box
cb5bad9b-631b-4780-ae1a-aa3bdba47d6f,3,37.3,book-related,which book has the yellow cover next to the pile of colored books?,renewal values and changing society
cf10c285-26f5-4919-bd6b-b7b86f4db05a,3,56.5,book-related,what is the title of the book with the red cover?,tirant's novel
d60a82c2-814d-459f-94a6-bc9e324464ff,3,53.2,book-related,where can i find encouraging words or a motivational note while studying?,i love u
dbbb29a2-516a-4060-94a4-0629e2823700,3,46.7,book-related,which book has an orange cover?,english for colleges
e3b62cb9-4fa0-4c55-900e-7ee7c791f6c7,3,31.5,book-related,what are the components of the budget?,structure and components of budget
062acb92-41b0-4f46-837c-3394aff57f2d,4,52.3,book-related,which book should i use to solve bookkeeping problems?,double entry book keeping
096734f9-4368-4470-8a7e-3b166b5ac753,4,44.0,book-related,what is the title of the book on the stack to the right?,double entry book keeping
0d2c12f6-f5b2-4bb1-ad24-a929d87d46b2,4,48.5,book-related,what are the books on the table？,history of the world
13df1116-8374-4827-b459-fe45d804586f,4,49.8,book-related,which books on swami vivekananda do i have on this shelf?,the complete works of swami vivekananda
164d8727-9b64-4887-b2ae-f31f2f996b07,4,51.2,book-related,what kind of bar am i at ?,light bar
261a6750-f8a7-4781-8e78-a4d259b359de,4,51.2,book-related,what is the illustrator mentioned on the tablet?,tania samarinshkina
299c2d04-ee46-43dc-b4e3-6f489f635f91,4,51.8,book-related,where should i place the perfect assassin book on the shelf?,next to photography handbook
38544feb-25d9-4c87-bcec-846cf9fddca2,4,51.2,book-related,what phrase is written on the tablet holder that i'm using?,word are liffcient live inside of you
38ebfa83-3667-43af-989e-6354440f9265,4,51.0,book-related,what is the title of the book on the table near the pens and sticky notes?,oxford dictionary of english
4024a7d8-abf2-4b5e-93f2-a725385eab56,4,48.5,book-related,which author wrote the book titled red heat: cures cancer?,starbuck o'dwyer
4f4d8b81-edd3-417e-9388-1d94f69bf3a2,4,43.5,book-related,what book should i reference for more detailed information on macroeconomics concepts?,introductory macro economics
5c5645a0-d9a6-426a-ab46-7c51b2a28783,4,54.2,book-related,what chapter in my business studies book should i read next?,chapter 3
5de9fb5c-409a-4f7a-aef4-9cd0f4c0a2f4,4,39.8,book-related,what are the main components of a government budget as described in the book?,revenue and expenditures
6ed554e3-88e1-417f-bed3-a4caad55a56a,4,33.5,book-related,where in my notes can i find the explanation about the government budget's impact on the economy?,in the section titled government budget and the economy
70276030-3e9a-4cfc-bca1-839c5e37c51a,4,48.5,book-related,which page number are the tables located on in the book i'm reading?,page 541
789ffb09-3e51-481c-96c2-03cb1a3b2264,4,51.0,book-related,what is the phrase on the card that i am pasting onto the paper?,good time
7a7383ba-176b-4e8e-b72c-2ce969c3dc72,4,50.8,book-related,what are some resilience tips mentioned in the article about the pandemic?,the lockdown allowed people to gain new skills to be able to adapt
80474ab9-05f4-4c39-9fe8-c271d550ab51,4,50.8,book-related,what is writen on the cover of the green notebook?,you can find college rule and 70
99504047-dfd0-433f-92ad-f8605660b06e,4,57.8,book-related,what book should i look at to preparing for a medical procedure?,colonoscopy dummies
a59afea9-d4a6-4168-b35f-7b8a576d2c40,4,49.2,book-related,where can i find information about the important dates and events based on the calendar in my workspace?,on the academic calendar hanging on the wall
a748b505-873a-422a-b4eb-5d29baa1b467,4,52.8,book-related,what chapter am i currently reading about?,conclusion
ab8570ba-6c88-45b2-9fb5-03f6cd149a78,4,50.2,book-related,what is the title of the book by daniel rothenberg?,with these hands
aca97c75-06c4-430f-9efe-7ccb1f7bf780,4,51.8,book-related,where can i find the section about the objectives of a budget?,in section 10.2 titled objectives of a budget
ae05182f-49d8-483c-913f-eeb7635f988f,4,54.5,book-related,what is written on the red card next to my book?,sarovaya
b44d457c-bb64-4d49-8989-42623e487782,4,50.5,book-related,what is the main subject of the blue book?,a person and a map with white text on a blue background
b97742df-3417-4953-85a7-6cd4f36c44c0,4,51.5,book-related,what are the intermediate goods used by the farmer and the baker?,"farmer uses 100, baker uses 50"
bd2a9fd1-7d4b-49ee-b3bf-4e7db9a805f2,4,49.8,book-related,which author's complete works am i cleaning?,swami vivekananda
c94ea4e2-4a2b-45f9-a20a-9a1f70c92e34,4,59.3,book-related,which book should i refer to for instructions on building a telegraph system?,build your own battery eliminators voltage stabilizers
e0858be5-80b9-45d2-8e78-8985bd4ff6af,4,55.0,book-related,what box is located next to the utensils?,organic
062acb92-41b0-4f46-837c-3394aff57f2d,5,52.3,book-related,where can i find the system files or documents i need for my study session?,find the system files in a folder with 'system' and 'india' written on the cover with a blue globe
0e0626d1-f9f4-4c05-8515-544afc95a7b2,5,75.5,book-related,which book seems to have the theme of travel or adventure?,lonely planet
13df1116-8374-4827-b459-fe45d804586f,5,49.8,book-related,what is the title of the book i am cleaning right now?,the complete works of swami vivekananda
24f2a624-488e-4984-93a3-aa67145b1440,5,43.2,book-related,where can i find information about double entry book keeping from the materials on the desk?,on the cover of a book from the stack
299c2d04-ee46-43dc-b4e3-6f489f635f91,5,51.8,book-related,which books need to be placed with the perfect assassin on the same shelf?,photography handbook and the matter of prague
31cc4cc9-d30e-406d-9499-d8ba04720ea7,5,60.2,book-related,where can i find the book titled suka sandesam?,underneath the book with an orange and black cover
38544feb-25d9-4c87-bcec-846cf9fddca2,5,51.2,book-related,where can i find information about the objectives of the government budget?,on the tablet screen
38ebfa83-3667-43af-989e-6354440f9265,5,51.0,book-related,where can i find information related to advantages to customers in the book on the table?,the left-side page
414f532b-d6da-4520-8214-6c1ba08e165f,5,45.8,book-related,which book should i consult to understand the introduction to the installment system?,double entry book keeping
5de9fb5c-409a-4f7a-aef4-9cd0f4c0a2f4,5,39.8,book-related,where can i find information about the measures and components of the economy in the text?,in the chapter titled government budget and the economy.
6ed554e3-88e1-417f-bed3-a4caad55a56a,5,33.5,book-related,what chapter am i currently studying?,government budget and the economy
7431deab-7cca-4dc6-868d-ffee9997f285,5,60.2,book-related,where can i find the book titled toxic fat?,in the lower left corner of the pile
7a7383ba-176b-4e8e-b72c-2ce969c3dc72,5,50.8,book-related,what is section of the newspaper discusses the buzz about?,it discusses kanye west's run for presidency
93c33de2-3003-4dd0-817e-8aada9e62531,5,51.2,book-related,which items or tools on the desk do i use?,the notebook and pen/pencil
99504047-dfd0-433f-92ad-f8605660b06e,5,57.8,book-related,which book might contain strategies or advice for performing well in a job interview?,interview power
a37c606a-36b4-4a9d-a2e5-79c5abb0ef12,5,48.5,book-related,where do i place the book with david on its spine?,on the middle shelf
a543c599-d62a-4a7a-9c6a-0926a98f75fa,5,46.0,book-related,where in the tablet screen can i find details related to my study topic?,the details about the study topic can be found in the text displayed in the open windows on the tablet
ab8570ba-6c88-45b2-9fb5-03f6cd149a78,5,50.2,book-related,where can i find the book titled shadow divers?,"on the floor, under the white shelf"
aca97c75-06c4-430f-9efe-7ccb1f7bf780,5,51.8,book-related,which features are mentioned in the government budget section?,"revenue and expenditure estimates, fiscal deficit"
ae05182f-49d8-483c-913f-eeb7635f988f,5,54.5,book-related,which page of the book should i refer to for understanding the organizational chart better?,118
b97742df-3417-4953-85a7-6cd4f36c44c0,5,51.5,book-related,how much value is added by the baker after subtracting the cost of intermediate goods used?,150
bd02cc95-573f-47f3-be2a-3bfaa61366c3,5,59.8,book-related,which magazine will inspire me?,hgtv magazine
d60a82c2-814d-459f-94a6-bc9e324464ff,5,53.2,book-related,what is the title of the book related to psychology that i need to review?,applied psychology
0479bea8-d221-4c6a-8c91-60108e43fe56,6,80.7,book-related,where can i find information on learning the guitar?,guitar for beginners
062acb92-41b0-4f46-837c-3394aff57f2d,6,80.2,book-related,what does the textbook for my class xii accountancy subject look like and where do i place it?,the textbook for class xii accountancy has 'accountancy textbook for class xii' on it and was placed on the desk
164d8727-9b64-4887-b2ae-f31f2f996b07,6,78.7,book-related,what words are written on the paper cup？,container
317012fc-7c0f-4d73-ac4b-160617d7b177,6,80.7,book-related,which topic in chapter iv discusses the effect of government budgeting decisions on the economy?,government budget and the economy
31cc4cc9-d30e-406d-9499-d8ba04720ea7,6,75.7,book-related,which book should i read if i want to find information written in the script seen on the orange and black book?,the book with the title നാടകങ്ങ
38544feb-25d9-4c87-bcec-846cf9fddca2,6,81.3,book-related,which subjects or topics are shown in the books?,introductory macroecohomics
3ea348a5-7040-4141-a9ab-d3c3c42e8dc0,6,89.7,book-related,what is written on the device stand that seems inspirational?,love inside you
5087f747-9022-4ce9-8d95-dbd56ca15ed0,6,81.7,book-related,which book should i refer to for learning about macroeconomics?,introductory macro economics
5b19360a-462a-4e3d-b2bc-9aa2c4bc248f,6,81.8,book-related,where can i find information about general physics topics?,physics
823aac75-f7c6-4963-a5c0-902fa662a260,6,74.0,book-related,where can i find books related to electronics and technology?,bottom shelf
93c33de2-3003-4dd0-817e-8aada9e62531,6,81.2,book-related,where should i put the tremex book?,back on the desk where it was
9422a7b8-152b-4299-9c2b-2cf9f91b6efe,6,87.8,book-related,which book has a section on scenarios?,worst case scenario
957482b6-f12f-4111-983d-9a7e3b8aba22,6,80.2,book-related,which color of text is used to highlight the main method?,pink-colored
99504047-dfd0-433f-92ad-f8605660b06e,6,71.3,book-related,where can i find information about controlling or managing body fat issues?,toxic fat
ab8570ba-6c88-45b2-9fb5-03f6cd149a78,6,70.3,book-related,which book discusses a religious theme?,christianity in crisis
bf6af69c-6a69-44f9-8530-4a7f54359d14,6,63.8,book-related,what kind of recipes are featured in the salad book that could be easy to prepare for dinner?,quick and healthy salads
1321ffc8-f18c-4e06-ae2f-31c6b80a16c4,7,79.0,book-related,which chapter of the book am i taking notes from?,creating a market offering
164d8727-9b64-4887-b2ae-f31f2f996b07,7,78.7,book-related,what topics are being discussed in the magazine i am reading?,the topic is sound bites discussing personal wishs regarding family time
1c677082-953b-433d-ac32-1ba22576dda4,7,81.7,book-related,which book is titled fix?,the book with the red and blue cover on the lower shelf
38ebfa83-3667-43af-989e-6354440f9265,7,81.2,book-related,what is the title of the page i am currently reading?,advantages to customers
5087f747-9022-4ce9-8d95-dbd56ca15ed0,7,81.7,book-related,what is the title of the blue book on my desk?,business studies
7431deab-7cca-4dc6-868d-ffee9997f285,7,86.5,book-related,where should i place the book titled with these hands?,on the shelf with the other books
789ffb09-3e51-481c-96c2-03cb1a3b2264,7,80.5,book-related,what is the subscription duration mentioned in the magazine?,1 year
8dea8a9c-df89-4a86-946e-12378ec817c0,7,87.5,book-related,what is the title of the red book in front of me?,microwave engineering
90a48d77-7070-4473-8757-d202ae893d6e,7,82.0,book-related,what is printed on the red business card?,banco davoa
b7c510a5-3e01-4581-b1ca-9b2798426e02,7,83.7,book-related,what is the dictionary or book the person is referring to?,oxford
badca629-9d3a-4e30-903a-dbc6ea65a7e8,7,87.5,book-related,what topic is covered in the red book with yellow lettering that i placed in front of me?,microwave engineering
c217af4a-589f-41cd-a4c6-4e0c8ef68483,7,80.2,book-related,what does the product/value added method measure?,includes the aggregate market value of goods and services produced in a year
d5e7e530-a0f6-4d44-872c-b4e36f160ea3,7,69.3,book-related,which book has good taste in the title?,good taste jazz guitar
dbbb29a2-516a-4060-94a4-0629e2823700,7,81.3,book-related,which book has an red cover?,integrated circuits
dc02f23a-fa63-4522-952c-18dcbee546e2,7,81.0,book-related,what is the main feature article in the middle magazine on the table?,a person on the cover
e447a17f-d674-4929-b5fe-2408ba39e937,7,102.5,book-related,what benefits does this product provide according to the packaging?,removes makeup and improves skin
049bf126-b6cc-4c6a-b9e5-d724837a6f40,8,81.2,book-related,where can i read more information about the advantages of product identification for customers?,on the book with the advantages to customers chapter
0e0626d1-f9f4-4c05-8515-544afc95a7b2,8,107.8,book-related,which book among these seems to be related to mysteries or detective stories?,perfect assassins
1321ffc8-f18c-4e06-ae2f-31c6b80a16c4,8,79.0,book-related,what is the main focus discussed in the section i’m reading about?,the process of creating an attractive market offering for a product or service
191926c3-63e9-4152-891a-c7231bec7c9a,8,78.8,book-related,how does the article describe the new frontier in medical science?,the new frontier in medical science focuses on innovations in health technology and personalized treatments
24f2a624-488e-4984-93a3-aa67145b1440,8,83.7,book-related,"where is the oxford dictionary placed in the room, and what other books are near it?","the oxford dictionary is placed on the desk, near some notebooks and a pencil holder"
299c2d04-ee46-43dc-b4e3-6f489f635f91,8,82.0,book-related,what are the titles of the books that i have already placed on the floor?,stone heart and the book with the pocket watch
31cc4cc9-d30e-406d-9499-d8ba04720ea7,8,75.7,book-related,where should i put the book suka sandesom?,next to the book titled നാടകകൃതികൾ
4024a7d8-abf2-4b5e-93f2-a725385eab56,8,84.8,book-related,"which book provides a guide to fitness, training, and performance?",water workouts
4f4d8b81-edd3-417e-9388-1d94f69bf3a2,8,87.0,book-related,where can i find the guitar case in my room?,next to the bookshelf
5b19360a-462a-4e3d-b2bc-9aa2c4bc248f,8,81.8,book-related,what is the book placed near my laptop?,the quantum field theory
5c5645a0-d9a6-426a-ab46-7c51b2a28783,8,77.3,book-related,where can i see inspiring or motivational words?,laptop cover
6ed554e3-88e1-417f-bed3-a4caad55a56a,8,89.7,book-related,which dictionary or reference book can i use to look up the definitions?,oxford dictionary
789ffb09-3e51-481c-96c2-03cb1a3b2264,8,80.5,book-related,where can i find more information about cyber security news and features?,tech.newstatesman.com
8262a628-c249-4b86-858d-00961663c05c,8,74.2,book-related,which character's actions are being described at the beginning of this chapter?,maria
a37c606a-36b4-4a9d-a2e5-79c5abb0ef12,8,69.3,book-related,where on the shelf is ghost world located in relation to cat's cradle?,to the left
ae05182f-49d8-483c-913f-eeb7635f988f,8,82.0,book-related,what does the text say on the cover of the black object to the right?,i love️u
b0011033-92f1-44a8-ac2b-6561e7236f62,8,82.0,book-related,where can i find information on basic principles and methods used in telegraphy?,principles of telegraphy
bd02cc95-573f-47f3-be2a-3bfaa61366c3,8,85.7,book-related,what brand is the can of soda on the table?,pepsi
0479bea8-d221-4c6a-8c91-60108e43fe56,9,107.5,book-related,"what does the cover of the book lynda look like, and what genre does it belong to?","the book with a black and pink cover, typically belonging to the self-help genre"
0e1fc680-9b1f-4314-8ebc-300097893ac2,9,113.0,book-related,where can i find the segment about celeb sons all grown up! in this magazine?,on a page with multiple celebrity images
13e20734-cac8-492a-a70a-3d2bf598d21a,9,139.0,book-related,what do i need to move to make more space on the table?,the history of the world
1445fd57-d149-44ec-a929-c63defa4f871,9,110.3,book-related,what section of the newspaper is referred to as third and fifth pages?,third and fifth pages
164d8727-9b64-4887-b2ae-f31f2f996b07,9,105.5,book-related,what's the main topic discussed in sound bites and how does it relate to the person quoted?,"the main topic is personal aspirations, specifically how the quoted individual wants to spend more time with their family"
1b642806-c7ee-4948-a0e7-6d575ea2a757,9,113.3,book-related,where can i find the book a yale album？,"on the second shelf to the left, right before the red book"
2936e284-d937-4b68-bf69-5abbdbfa5295,9,145.8,book-related,which book might provide information on plants or nature topics?,living earth
38544feb-25d9-4c87-bcec-846cf9fddca2,9,110.0,book-related,where can i find information about 'business studies'?,in the blue book on the desk
4024a7d8-abf2-4b5e-93f2-a725385eab56,9,105.8,book-related,which book title on the table suggests a focus on european culture or history?,greek heritage
414f532b-d6da-4520-8214-6c1ba08e165f,9,113.2,book-related,where are my notes for this session？,on the left side of the open book with pink and orange highlights
4f4d8b81-edd3-417e-9388-1d94f69bf3a2,9,111.2,book-related,what subject am i studying?,mathematics
5de9fb5c-409a-4f7a-aef4-9cd0f4c0a2f4,9,147.3,book-related,which book is about government budget and the economy?,the textbook on the table titled economics
93c33de2-3003-4dd0-817e-8aada9e62531,9,111.2,book-related,what type of books appear to be most prevalent on my desk?,children's books
9422a7b8-152b-4299-9c2b-2cf9f91b6efe,9,108.5,book-related,where should i position the motivational poster?,on a wall within my direct line of sight
99504047-dfd0-433f-92ad-f8605660b06e,9,107.7,book-related,"which book cover shows a suggestion related to gambling, and what is its author's name?",gambler's book of luck by h.j. brown
a748b505-873a-422a-b4eb-5d29baa1b467,9,111.2,book-related,where can i find the reference text that i am following to paint the phrase accurately?,on the tablet screen to the top of the image
ae05182f-49d8-483c-913f-eeb7635f988f,9,114.8,book-related,which topics or subjects are covered in the open book with diagrams?,flowchart structures
b97742df-3417-4953-85a7-6cd4f36c44c0,9,113.8,book-related,"what the table under production, distribution, and value added is illustrating?","total production, distribution, and value added"
badca629-9d3a-4e30-903a-dbc6ea65a7e8,9,110.5,book-related,where does the book on microwave engineering fit in the collection of books?,front and center of the collection
bd2a9fd1-7d4b-49ee-b3bf-4e7db9a805f2,9,111.3,book-related,where do i place the book titled basic writings of nietzsche?,on the floor
e3b62cb9-4fa0-4c55-900e-7ee7c791f6c7,9,99.7,book-related,where can i find the information about economic factors?,in the textbook beside my hand
049bf126-b6cc-4c6a-b9e5-d724837a6f40,10,109.0,book-related,what are some of the advantages to customers mentioned in the textbook?,helps in product identification
13e20734-cac8-492a-a70a-3d2bf598d21a,10,139.0,book-related,what is the title of the book on the table？,history of the world
164d8727-9b64-4887-b2ae-f31f2f996b07,10,105.5,book-related,what type of articles can i find in this magazine?,"articles on women's care,"
22554507-48de-46df-b9f1-0e37fdf557f9,10,112.0,book-related,where should i place the engineering physics book?,on the shelf to the left
261a6750-f8a7-4781-8e78-a4d259b359de,10,116.2,book-related,what is the title of the newspaper article？,buzz stop
2936e284-d937-4b68-bf69-5abbdbfa5295,10,145.8,book-related,which book should i pick to practice economics?,practical economics
